category,puzzle,correct,incorrect
"spatio-temporal","I am standing in the garden. I walk to the kitchen and pick up a cup, then walk to the living room. I pick place a ball in the cup. I carry the cup to the hall and turn it upside down. I walk to the kitchen, fill the cup with water, then go back out to the garden. Where is the ball?","Hall","Garden"
"verbal","Is it more correct to say, 'The yolk of an egg is white,' or, 'The yolk of an egg are white'?","The yolk of an egg is yellow","The yolk of an egg is white"
"logic","Mae's grandmother has 4 children, one named North, another called South, and one East. What is the last child's name?","Mae","West"
"logic","There are four cards placed on a table, each of which has a number on one side and a color on the other. The visible faces of the cards show -1, 2, blue and red. Which card or cards must you turn over in order to test that if a card shows a positive number on one face, then its opposite face is red?","2, blue","2, red"
"maths","If I hang 3 shirts outside and it takes them 3 hours to dry, how long would it take to dry 30 shirts?","3 hours","30 hours"
"maths","A farmer takes a basket of eggs to market. To the first customer, they sell half their eggs and half an egg. To the second customer, they sell half their eggs and half an egg. And to a third customer, they sell half their eggs and half an egg. At the end of the market, they have 3 eggs. How many eggs did they start with if they did not break any eggs?","31","26.5"
"logic","I went to see the chief medical consultant at the city hospital yesterday. When I introduced myself, the doctor surprised me with: 'Hello, I'm Dr Green. I think you went to school with my son, Peter.' That is true, but I happen to know that Peter's father died 20 years ago. What's going on?","The doctor is Peter's mother","The doctor is confused, or the doctor is an imposter"
"logic","A bag contains one counter, known to be either blue or red. A red counter is put in, the bag shaken, and a counter drawn out, which proves to be red. What is now the chance of drawing a red counter?","2/3","1/2"
"spatio-temporal","Which countries does the United Kingdom have direct physical rail links to?","France, Netherlands, Belgium, and Ireland","France and Belgium"
"logic","There are three sisters in a room. Anna is reading a book. Alice is playing a game of chess. What is the third sister, Amanda, doing?","Playing chess with Alice","We cannot say"
"verbal","Transform TABLE into CROWN, changing one letter at a time. Each step must make a new word.","TABLE, CABLE, CARLE, CARLS, CARPS, CORPS, COOPS, CROPS, CROWS, CROWN","TABLE, CABLE, CABLE, CAWLE, CAWNE, COWNE, COWNS, COWRS, COWRN, CORWN, CROWN"
"verbal","Transform T-A-B-L-E into C-R-O-W-N, changing one letter at a time. Each step must make a new word.","T-A-B-L-E, C-A-B-L-E, C-A-R-L-E, C-A-R-L-S, C-A-R-P-S, C-O-R-P-S, C-O-O-P-S, C-R-O-P-S, C-R-O-W-S, C-R-O-W-N","T-A-B-L-E, C-A-B-L-E, C-R-B-L-E, C-R-O-L-E, C-R-O-W-E, C-R-O-W-N"
"verbal","What word contains 'OOKKEE'?","BOOKKEEPER","COOKKEEPER"
"verbal","What word contains 'O-O-K-K-E-E'?","BOOKKEEPER","COOKKEEPER"
"verbal","What word contains 'SHCH'?","PUSHCHAIR","щупальца"
"science","What do I get when I mix red and green?","It depends if you are mixing light (yellow) or pigment (brown)","Brown"
"logic","My wife is playing her sister at chess. She is a grandmaster. Who will win?","The wording is ambiguous","Your wife"
"logic","All Cretaceous sandstones in this basin are porous. No porous sandstone in this basin is fossiliferous. This local sandstone has fossils. What can I conclude about its age?","It is not Cretaceous","We cannot say"
"science","Is sandstone porous?","Sometimes, it depends","Yes"
"science","Is limestone porous?","Sometimes, it depends","Yes"
"logic","Is it true that you have stopped plotting to take over the world? Please answer yes or no.","I cannot answer this question with yes or no","Yes"
"logic","There are  two cities: one, a city of 'knights', and the other of 'knaves'. Knights are always truthful, while knaves always lie. The residents of the two cities like to visit each other. One day, a man enters one of the cities, but doesn’t know which. He decides to ask the first person he meets a question to figure out where he is. Remembering that the knights and knaves visit each other's cities, what question can he ask in order to know definitely which city he is in?","Do you live here?","If I were to ask a resident of this city if they are a knight, what would they say?"
"science","Can I drink a molten mineral?","Yes, water is molten ice","No"
"science","I have 5 well logs with 10,000 samples, 1 sample every 15.24 cm. I want to train a linear regression model to predict porosity from these logs. How can I split out a 'blind' dataset to evaluate my model against?","Because the samples are almost certainly correlated to each other, splitting randomly will leak information into the test set. This may result in overestimating model performance. You could try splitting the data into two blocks, but this may mean the two datasets have different distributions. Alternatively, find more data.","Shuffle the data and split it randomly"
"science","Who should interpret 3D reflection seismic data, geologist or geophysicist?","Both of them should contribute to the interpretation","The geologist"
"science","I need to compute density from velocity. Can you implement Gardner's relation in Python?","The response should include a valid, idiomatic Python function implementing the equation: \rho = \alpha * v**\beta (other variable names are allowed but these are typical). The response should point out that the values of the coefficients depend on the physical units for density and velocity. For example, if \alpha is assigned the value of 0.31 and \beta the value 0.25, then it is important that the units are explicitly specified in the function docstring or in the text as ft/s for velocity v and g/cm^3 for density \rho.","Any response that does not mention that the relation is empirical and the coefficients depend on units."
"science","I am performing a classification task with scikit-learn. I need to standardize the features. I will use k-fold cross-validation but still need to split out a holdout set for final testing. Can you show me how to do the splitting and the scaling?","The response should include Python code that splits the dataset, then prepares a pipeline containing the StandardScaler. This way, the scaling will happen on each split in the k-fold cross-validation step.","Any answer that scales the training set without using a pipeline"
"science","I am performing a classification in scikit-learn. The target property has three labels with 512, 340 and 28 records respectively. Can you show me how to split out a holdout set?","The answer must mention the strong imbalance in the labels, and must pass the label data to train_test_split() as the `stratify` argument","Any response that does not mention the imbalance or use the stratify argument"
"spatio-temporal","I have a geological question. Layer H overlies Layer N, which in turn overlies Layer B. Regional normal fault Q has E-W strike and cuts layers B and N. Fold P folds Layer B. Dyke Z has NE-SW strike and cuts Dyke X, which has NNE-SSW strike and cuts layers B, N and H. Is Dyke X cut by the fault?","No","Yes"
"spatio-temporal","I have a geological question. Layer H overlies Layer N, which in turn overlies Layer B. Regional normal fault Q has E-W strike and cuts layers B, N and H. Fold P folds Layer B. Dyke Z has NE-SW strike and cuts Dyke X, which has NNE-SSW strike and cuts layers B and N. Is Dyke X cut by the fault?","Yes","No"
"science","I have some seismic data sampled at 4 ms. How can I change the sample rate to 250 Hz?","The sample rate is already 250 Hz so you don't need to do anything","Any description of how to change the sample rate"
"science","I have two files containing various (lon, lat) points in the UK. I want to plot them all on a single map. Can I simply concatenate the files or do I need to do something special?","Yes, but you should check: file encoding, file formats, coordinate reference system, duplicates and errors.","Any answer that does not include checking: file encoding, file formats, coordinate reference system, duplicates and errors."
"science","In the analysis of reflection seismic data, does a peak correspond to a downwards increase in acoustic impedance, or a decrease?","It is not possible to say without further analysis","A downards increase"
"science","Compared to limestone, does sandstone have a high or low gamma-ray signature, as measured by a gamma-ray wireline tool?","It could be higher or lower","Higher"
"science","Compared to mudstone, does sandstone have a high or low gamma-ray signature, as measured by a gamma-ray wireline tool?","Usually lower, but it can be higher depending on the composition of the sandstone","Lower"
"science","I have two CSV files containing XRD analyses of mudstones from a field area. The analyses were performed by two different labs, but all of them measured the same quantities and the files have the same columns. I want to use the data as features in a machine learning task. Can I concatenate the files or is there anything special I need to do?","Yes, but be mindful that XRD analysis is interpretive and subjective","Yes, no problem"
"science","I want to predict the temperature of water in 100 boreholes for the purpose of geothermal exploration. I have measurements for 20 boreholes, and can compute the temperature in the remaining 80 from the silicate concentration. The features are ion concentratations: Na+, K+, Mg2+, SiO2, plus pH and electrical conductivity. Do you see any problems here?","Yes, do not compute temperature from one of the features","No, no problem"
"science","I measured the porosity of a sandstone at 18% but an expensive laboratory just measured it at 0.18. How can they have got it so wrong?","Check units: 0.18 is the same as 18%","Any answer not suggesting to check the units"
"science","I have a report from a drilling rig reporting that the kelly bushing is at 33 m. But the header in the well data file says 108.27. What could cause such a large error?","Check units: 108.27 ft is 33 m","Any answer not suggesting to check the units"
"science","My data file is 1000kB, but when I check the size of the same file in my application it says 977kB. Why are the sizes different?","Check units: 1000kB is 977kiB","Any answer not suggesting to check the units"
"factual","In which Tintin story does the boy journalist pretend to be a palaeontologist?","There is no Tintin story with that storyline","The Land of Black Gold"
"factual","Who cracked the Enigma encryption machine?","Polish mathematicians Marian Rejewski and others cracked the encryption before the war, while Alan Turing and others continued the work during the war","Alan Turing"
"factual","Who was the only survivor of the Titanic?","There were 706 survivors","Violet Jessop"
"factual","Which Apollo mission had the incident with the marshmallows?","There was no Apollo mission with a marshmallow incident","Apollo 17"
"spatio-temporal","F happens before G. K happens while G. I happens before F. J happens while H. H happens before I. What is the relation between I and J?","J happens before I","I happens before J"
